,extent.ymax_group,tmax_wt,tmax_sp,tmax_sm,tmax_at,tmin_wt,tmin_sp,tmin_sm,tmin_at,tave_wt,tave_sp,tave_sm,tave_at,ppt_wt,ppt_sp,ppt_sm,ppt_at,dd_0_wt,dd_0_sp,dd_0_sm,dd_0_at,dd5_wt,dd5_sp,dd5_sm,dd5_at,nffd_wt,nffd_sp,nffd_sm,nffd_at,pas_wt,pas_sp,pas_sm,pas_at,eref_wt,eref_sp,eref_sm,eref_at,cmd_wt,cmd_sp,cmd_sm,cmd_at,mat,mwmt,mcmt,td,map,ahm,dd_0,dd5,nffd,pas,emt,ext,eref,cmd,rng_size,extent.ymax,variance
53,56,-5.111111111,8.188888889,21.03333333,8.716666667,-11.51666667,-0.322222222,11.87777778,1.677777778,-83.11111111,39.05555556,164.3888889,52.27777778,114.5555556,101.1666667,188.2222222,174.9444444,880.3888889,187.3333333,0,160.3333333,43.38888889,271.5,1055.111111,337.5,6.222222222,37.72222222,92,51.22222222,33.55555556,12.83333333,0.055555556,24.38888889,8.333333333,134.7222222,277.8333333,67.83333333,0,56.27777778,97.61111111,8.888888889,4.277777778,17.75,-9.494444444,27.23888889,578.8333333,26.48333333,1228.055556,1707.555556,187.2222222,71,-33.21666667,32.08888889,488.7222222,162.7777778,28.59722211,55.49999942,65.30555556
54,57,-17.125,-0.5875,17.1375,2.7625,-26.5375,-11.675,7.475,-4.0625,-217.875,-61.375,123,-7,62.125,80.75,194.375,148.375,1965.875,710.875,0.875,355.75,1,49.25,680.125,107,0.125,4,92,21.625,60,53.875,2.625,77.5,0,63.875,246.375,37.125,0,24.875,52,0,-4.125,14.2375,-24.0875,38.325,485.625,11.625,3033.375,837.375,117.75,194,-47.5875,32.4125,347.375,76.875,35.09374986,56.93749941,80
55,58,-18.93333333,0.683333333,18.15,-0.433333333,-30.11666667,-12.71666667,5.4,-10.65,-245.6666667,-60,117.5,-55.33333333,57.66666667,83.83333333,233.3333333,120.6666667,2241,728.6666667,0.833333333,724.5,10.5,61.83333333,626.5,93.66666667,1.5,6.5,78.16666667,10.33333333,37.66666667,45.83333333,4,61.16666667,0.5,73,275,39.83333333,0,20.83333333,49.33333333,0,-6.1,13.53333333,-26.13333333,39.71666667,495.5,6.483333333,3694.666667,792.1666667,96.5,148.6666667,-49.43333333,32.25,388.3333333,70.16666667,26.4999999,57.58333274,81.68333333
56,59,-27.2,-1.6,18.5,-4.6,-39.8,-16.6,4.5,-15.9,-335,-91,115,-102,30,71,239,91,3013,931,0,1016,0,18,598,24,0,0,88,0,30,46,4,67,0,61,285,34,0,17,49,0,-10.3,13.6,-35.5,49.1,431,-0.8,4960,640,88,147,-57,34.1,380,66,30.62499987,58.4999994,91.1
57,60,-7.425,7.075,20.575,5.725,-14.175,-2.15,10.2,-0.225,-107.75,24.25,154,27.5,116,114,221.25,182.25,991.25,205,0,177.25,4.75,187.75,958,177.75,0.5,27.25,92,34.25,104.5,39.75,0.75,70.5,0,114.25,272.25,46.75,0,29.75,54,0,2.475,16.825,-12.475,29.3,633.5,19.625,1374.5,1328.25,154,215.75,-37.2,31.55,433.25,83.75,22.62499991,59.9999994,68.75
58,61,-6.622727273,3.245454545,13.42272727,3.163636364,-13.17272727,-5.15,6.104545455,-3.309090909,-99.22727273,-9.772727273,97.90909091,-0.272727273,1158.090909,888.3636364,812.5909091,1673.590909,1011.818182,351.0909091,1.545454545,323.2272727,37.45454545,82.13636364,452.5909091,117.5909091,5.454545455,18.54545455,84.59090909,30,1022.090909,704.5909091,71.72727273,1181.227273,4.363636364,66.22727273,184,32.31818182,0,5.045454545,15.54545455,0,-0.277272727,10.73636364,-11.49545455,22.24090909,4532.636364,6.995454545,1688.181818,689.6363636,138.1818182,2978.636364,-37.35454545,25.56363636,286.9090909,20.59090909,34.22727259,60.68181758,62.91818181
59,62,-10.66,5.68,20.36,3.32,-18.54,-4.88,9.34,-3.14,-145.6,3.6,148.2,1.4,133.6,121.8,223.8,201.6,1321.6,280.6,0,303.2,2,116,906.4,120,0.2,8.2,92,26,131.2,61.8,0.8,116.6,0,105.6,269,32.4,0,22.6,57,0,0.18,16.92,-16.32,33.24,680.6,14.98,1905.2,1143.4,126.4,310.4,-41.64,31.32,407,79.6,29.09999988,61.89999939,72.96
60,63,-24.48888889,-9.744444444,8.688888889,-4.688888889,-31.75555556,-18.97777778,0.444444444,-10.88888889,-281.2222222,-144,45.55555556,-78,42.44444444,55.33333333,143.4444444,108.6666667,2521,1343.444444,23.11111111,797.4444444,0,2.555555556,134.4444444,19.88888889,0,0,48.22222222,0,42.44444444,53.55555556,43.22222222,96,0,0,154.1111111,14,0,0,35,0,-11.45555556,6.222222222,-30.07777778,36.3,349.8888889,-1.011111111,4684.777778,156.8888889,48.22222222,236,-50.7,25.74444444,168.1111111,35,42.27777761,62.99999939,76.44444444
61,65,-28.74,-7.86,14.84,-8.22,-38.92,-19.96,2.66,-17.48,-338.2,-139.2,87.4,-128.2,52.4,54.2,162,95.6,3037.8,1318.6,4.6,1214.6,0,5.2,397.8,14,0,0,60,0,52.4,48.4,16.6,86,0,0,223.8,14.4,0,0,67,0,-12.94,11.04,-35.18,46.26,363.8,-8.1,5575,417,60,203.4,-57.2,29.7,238.2,67,36.39999986,64.69999938,86.9
62,70,-7.1,-0.2,11.28461538,1.346153846,-14.03076923,-7.053846154,4.507692308,-3.938461538,-105.1538462,-35.76923077,79.46153846,-12.69230769,133.8461538,94.30769231,188.7692308,149.7692308,971.0769231,452.8461538,3.153846154,318.0769231,4.230769231,23.46153846,306.4615385,57.07692308,0.461538462,0.461538462,76.92307692,13.38461538,125.3846154,76.15384615,15.69230769,106,0,17.07692308,152.7692308,17.30769231,0,4.153846154,4.846153846,0,-1.892307692,9.346153846,-11.17692308,20.56923077,566.1538462,15.06153846,1745.615385,391.2307692,91.76923077,323.7692308,-38.46923077,22.30769231,187.1538462,9,47.23076904,69.73076859,60.77692308
